protocolo,unidade,dataset,fpr,tpr,limiar
C,paciente,breast,0.0,0.0,inf
C,paciente,breast,0.0,0.01020408163265306,0.9802956428891504
C,paciente,breast,0.0,0.02040816326530612,0.9786452851297928
C,paciente,breast,0.025974025974025976,0.02040816326530612,0.9472921572442166
C,paciente,breast,0.025974025974025976,0.061224489795918366,0.9119949215138992
C,paciente,breast,0.032467532467532464,0.061224489795918366,0.9106423619023865
C,paciente,breast,0.032467532467532464,0.11224489795918367,0.8826342269989955
C,paciente,breast,0.045454545454545456,0.11224489795918367,0.8735337221886356
C,paciente,breast,0.045454545454545456,0.15306122448979592,0.8458376560519111
C,paciente,breast,0.05844155844155844,0.15306122448979592,0.840153672981229
C,paciente,breast,0.05844155844155844,0.19387755102040816,0.8307737488969881
C,paciente,breast,0.07142857142857142,0.19387755102040816,0.8288555222790686
C,paciente,breast,0.07142857142857142,0.20408163265306123,0.8264928722013423
C,paciente,breast,0.09090909090909091,0.20408163265306123,0.8196057444907087
C,paciente,breast,0.09090909090909091,0.23469387755102042,0.8091958639048688
C,paciente,breast,0.09740259740259741,0.23469387755102042,0.8080475393857699
C,paciente,breast,0.09740259740259741,0.30612244897959184,0.7869771495227833
C,paciente,breast,0.1038961038961039,0.30612244897959184,0.7770225978897484
C,paciente,breast,0.1038961038961039,0.3469387755102041,0.7638251862644686
C,paciente,breast,0.11038961038961038,0.3469387755102041,0.7555214854636446
C,paciente,breast,0.11038961038961038,0.3673469387755102,0.7522687007242927
C,paciente,breast,0.11688311688311688,0.3673469387755102,0.7425396969020104
C,paciente,breast,0.11688311688311688,0.3979591836734694,0.7292630766912747
C,paciente,breast,0.12987012987012986,0.3979591836734694,0.7253836183055562
C,paciente,breast,0.12987012987012986,0.42857142857142855,0.7154607939440675
C,paciente,breast,0.13636363636363635,0.42857142857142855,0.7153849302658257
C,paciente,breast,0.13636363636363635,0.47959183673469385,0.7003547323187478
C,paciente,breast,0.14935064935064934,0.47959183673469385,0.6995943700959026
C,paciente,breast,0.14935064935064934,0.4897959183673469,0.689175459333456
C,paciente,breast,0.15584415584415584,0.4897959183673469,0.6828223315123683
C,paciente,breast,0.15584415584415584,0.5102040816326531,0.6706892735871213
C,paciente,breast,0.18831168831168832,0.5102040816326531,0.6629897848658702
C,paciente,breast,0.18831168831168832,0.5204081632653061,0.6602374581382368
C,paciente,breast,0.19480519480519481,0.5204081632653061,0.6594125755026492
C,paciente,breast,0.19480519480519481,0.5408163265306123,0.6393710071001998
C,paciente,breast,0.21428571428571427,0.5408163265306123,0.6266542237244727
C,paciente,breast,0.21428571428571427,0.5510204081632653,0.6228901368959396
C,paciente,breast,0.22077922077922077,0.5510204081632653,0.6209126534084854
C,paciente,breast,0.22077922077922077,0.5612244897959183,0.6155824644819599
C,paciente,breast,0.24675324675324675,0.5612244897959183,0.6052328206378397
C,paciente,breast,0.24675324675324675,0.6020408163265306,0.593376769180854
C,paciente,breast,0.2532467532467532,0.6020408163265306,0.5892681971820621
C,paciente,breast,0.2532467532467532,0.6326530612244898,0.5829625012663597
C,paciente,breast,0.2597402597402597,0.6326530612244898,0.5824769033234769
C,paciente,breast,0.2597402597402597,0.6428571428571429,0.5821923205389593
C,paciente,breast,0.2662337662337662,0.6428571428571429,0.5758915735502987
C,paciente,breast,0.2662337662337662,0.6632653061224489,0.5715220464915376
C,paciente,breast,0.2857142857142857,0.6632653061224489,0.5694726462971054
C,paciente,breast,0.2857142857142857,0.673469387755102,0.5691012835943025
C,paciente,breast,0.2987012987012987,0.673469387755102,0.5470489157105388
C,paciente,breast,0.2987012987012987,0.6836734693877551,0.5468491066467028
C,paciente,breast,0.3051948051948052,0.6836734693877551,0.5457858219080008
C,paciente,breast,0.3051948051948052,0.6938775510204082,0.5440394375146314
C,paciente,breast,0.3116883116883117,0.6938775510204082,0.5382687361690731
C,paciente,breast,0.3116883116883117,0.7244897959183674,0.5299401894468047
C,paciente,breast,0.33116883116883117,0.7244897959183674,0.5196908287608092
C,paciente,breast,0.33116883116883117,0.7346938775510204,0.5146319679199347
C,paciente,breast,0.33766233766233766,0.7346938775510204,0.5128138510513527
C,paciente,breast,0.33766233766233766,0.7448979591836735,0.508707174607812
C,paciente,breast,0.35064935064935066,0.7448979591836735,0.4942361204315423
C,paciente,breast,0.35064935064935066,0.7959183673469388,0.4753879807938026
C,paciente,breast,0.36363636363636365,0.7959183673469388,0.4610470658976301
C,paciente,breast,0.36363636363636365,0.8061224489795918,0.4605470110174476
C,paciente,breast,0.4155844155844156,0.8061224489795918,0.441011038381749
C,paciente,breast,0.4155844155844156,0.826530612244898,0.4253450760348977
C,paciente,breast,0.4805194805194805,0.826530612244898,0.3909490503517825
C,paciente,breast,0.4805194805194805,0.8367346938775511,0.3832680634451937
C,paciente,breast,0.4935064935064935,0.8367346938775511,0.3785997542552146
C,paciente,breast,0.4935064935064935,0.8469387755102041,0.3774591458383625
C,paciente,breast,0.5,0.8469387755102041,0.3766029691635842
C,paciente,breast,0.5,0.8571428571428571,0.3739840765285495
C,paciente,breast,0.5194805194805194,0.8571428571428571,0.3673270774355861
C,paciente,breast,0.5194805194805194,0.8673469387755102,0.3647719356529085
C,paciente,breast,0.5844155844155844,0.8673469387755102,0.3301110102072198
C,paciente,breast,0.5844155844155844,0.8775510204081632,0.3268428031995581
C,paciente,breast,0.6038961038961039,0.8775510204081632,0.3247637174827488
C,paciente,breast,0.6038961038961039,0.8877551020408163,0.3242814654648149
C,paciente,breast,0.6168831168831169,0.8877551020408163,0.3182176687353731
C,paciente,breast,0.6168831168831169,0.8979591836734694,0.3162928722790571
C,paciente,breast,0.6428571428571429,0.8979591836734694,0.2932360435552401
C,paciente,breast,0.6428571428571429,0.9183673469387755,0.2885909094650233
C,paciente,breast,0.6558441558441559,0.9183673469387755,0.2838120504883748
C,paciente,breast,0.6558441558441559,0.9285714285714286,0.2835516635044987
C,paciente,breast,0.6948051948051948,0.9285714285714286,0.2445286985075686
C,paciente,breast,0.6948051948051948,0.9387755102040817,0.2437338711576857
C,paciente,breast,0.7272727272727273,0.9387755102040817,0.2287219784314185
C,paciente,breast,0.7272727272727273,0.9489795918367347,0.2267857534263639
C,paciente,breast,0.7662337662337663,0.9489795918367347,0.2076658089555084
